Video Topic,Filmed By,Date Published,Day of Week,Days Since Upload,Time (MST),Duration (s),Views,Likes,Comments,Shares,Total Play Time (hr),Average Watch Time (s),Avg. % Watched,% Watched Full Video ,Reached Audience,ER Likes (%),ER Comments (%),ER Shares (%),For You Page (%),Personal Profile (%),Following (%),Hashtag (%),% Unknown,Hashtags,Views
DEM resolution and high-res topography (San Andreas),Emily,10/8/2021,Friday,119,13:15:00,76.95,2422,159,6,5,14.93,22.1,28.71994802,8.38,2620,6.06870229,0.229007634,0.190839695,38,38,7,0,17,"geology, geophysics, topography, lidar, satellite",2422
GMV Hawaii EQ (10/10/21) seismic waves,Wendy,10/11/2021,Monday,116,9:32:00,29.7,372300,43900,558,1066,2609.27,25.1,84.51178451,50.43,348926,12.58146426,0.159919295,0.305508904,98,1,0,0,1,"earthquake, hawaii, data, seismology, geophysics",372300
"Attending a scientific meeting, GSA",Emily,10/12/2021,Tuesday,115,11:10:00,60.14,1539,87,8,9,6.4,14.8,24.60924509,6.04,1502,5.792276964,0.532623169,0.599201065,13,71,7,1,8,"geology, geologist, geoscience, gsa2021, geophysics",1539
Earthquake yoga (types of seismic waves),Wendy,10/13/2021,Wednesday,114,12:03:00,59.19,1511,58,6,6,4.4,10.5,17.73948302,5.74,1411,4.110559887,0.425230333,0.425230333,11,79,5,1,4,"seismology, geophysics, yoga, earthquake",1511
Types of faults,Wendy,10/14/2021,Thursday,113,12:05:00,52.24,1695,134,3,2,8.93,19,36.37059724,21.34,1582,8.470290771,0.189633375,0.12642225,10,75,9,0,6,"earthquake, geology, faults, geophysics",1695
GMV July 2021 M8.2 Alaska EQ,Wendy,10/15/2021,Friday,112,7:28:00,100.7,6639,720,15,41,48.75,25.5,25.32274081,2.39,7813,9.215410214,0.191987713,0.524766415,43,22,4,1,30,"earthquake, alaska, geophysics, seismology, geology",6639
Lidar X-ray vision,Emily,10/16/2021,Saturday,111,7:20:00,48.11,92900,5859,105,49,698.93,27.1,56.32924548,23.33,89384,6.554864405,0.117470688,0.054819655,96,1,1,0,2,"geology, lidar, topography, sanandreas, fault, geophysics",92900
High-precision GPS,Emily,10/18/2021,Monday,109,16:38:00,50.78,2195,255,15,1,14.78,24.1,47.45962978,23.61,2116,12.0510397,0.708884688,0.047258979,62,19,12,1,6,"geology, gps, geodesy, geophysics, tectonic",2195
"ShakeAlert, what to do during EQ",Wendy,10/20/2021,Wednesday,107,6:21:00,61.51,2434,344,28,7,21.82,31.9,51.86148594,23.53,2445,14.06952965,1.145194274,0.286298569,55,19,13,1,12,"earthquake, shakeout, science, geophysics, protectyourself, nowyouknow",2434
Earthquake terms (hypocenter vs. epicenter),Wendy,10/21/2021,Thursday,106,9:11:00,18.55,2168,142,10,2,6.67,11,59.29919137,32.94,2092,6.787762906,0.478011472,0.095602294,63,19,12,0,6,"earthquake, geophysics, geology, seismology",2168
Earthquake magnitude (spaghetti),Wendy,10/22/2021,Friday,105,11:29:00,34.06,305500,24300,444,346,2195.4,25.8,75.7486788,47.66,289502,8.393724396,0.153366816,0.119515582,98,1,1,0,0,"earthquake, geophysics, seismology, geology",305500
GPS to monitor Earth's systems,Emily,10/23/2021,Saturday,104,12:37:00,49.78,775,78,4,1,2.92,13.4,26.91844114,10.84,802,9.725685786,0.498753117,0.124688279,26,40,15,1,18,"geology, geodesy, gps, earthquake, volcano, glacier, geophysics",775
Ask a geoscientist call,Emily,10/25/2021,Monday,102,9:24:00,11.03,863,59,3,1,1.32,5.4,48.95738894,13.45,917,6.434023991,0.327153762,0.109051254,43,30,11,0,16,"geology, geophysics, geoscience, earthscience, learnontiktok",863
EQ magnitude and intensity,Wendy,10/25/2021,Monday,102,13:23:00,56.91,1606,189,4,6,9.77,19.23,33.79019504,19.23,1601,11.8051218,0.249843848,0.374765771,66,17,8,0,9,"seismology, geology, earthquake",1606
Baby seismometer,Wendy,10/26/2021,Tuesday,101,4:47:00,8.78,522,27,1,0,0.97,6.7,76.30979499,37.6,377,7.161803714,0.265251989,0,1,52,45,1,1,"seismology, geophysics, seethebaby",522
P waves and S waves,Wendy,10/27/2021,Wednesday,100,17:26:00,55.75,1101,135,5,1,5.97,19.1,34.26008969,20.09,1142,11.82136602,0.437828371,0.087565674,35,33,14,0,18,"earthquake, geophysics, geologytiktok, science",1101
Candy bar faults,Wendy,10/29/2021,Friday,98,9:03:00,59.19,840,110,6,5,4.83,20.5,34.63422875,20.92,797,13.80175659,0.752823087,0.627352572,36,46,13,1,4,"seismology, geology, geophysics, earthquake, education, scicomm, halloweencandy",840
Lidar Mexico archaeology,Emily,10/30/2021,Saturday,97,13:19:00,46.88,7896,1339,20,13,54.47,24.7,52.68771331,22.57,7791,17.18649724,0.256706456,0.166859197,81,6,8,0,5,"lidar, archaeology, geology, mexico, mesoamerica",7896
How do GPS satellites know where they are?,Scott,10/31/2021,Sunday,96,8:59:00,60.3,2891,320,8,6,25.35,31.3,51.90713101,28.28,2806,11.404134,0.28510335,0.213827512,72,15,7,0,6,"gps, geodesy, geology, geophysics",2891
Things seismometers record that aren't earthquakes,Wendy,11/4/2021,Thursday,92,8:33:00,130.33,2363,449,22,8,29.8,44,33.76045423,8.4,2233,20.10747873,0.985221675,0.358262427,66,22,6,0,6,"seismometer, geophysics, geology, science, earthquake",2363
GPS ground motion and earthquakes (Nepal 2015),Emily,11/5/2021,Friday,91,16:41:00,36.41,4117,565,15,7,25.88,22.5,61.79620983,38.06,3879,14.56560969,0.386697602,0.180458881,71,13,13,0,3,"geology, geophysics, earthquake, gps, nepal",4117
GMV of Nicaragua M6.2,Wendy,11/9/2021,Tuesday,87,10:37:00,39.38,11700,1102,37,29,70.3,21.5,54.59624175,15.59,10979,10.03734402,0.337007013,0.264140632,86,5,6,0,3,"earthquake, nicaragua, seismology, geophysics",11700
Lidar San Diego coast erosion,Emily,11/12/2021,Friday,84,13:50:00,54.77,2543,366,8,2,23.85,33.4,60.98228957,24.7,2409,15.19302615,0.332088003,0.083022001,58,16,23,0,3,"geology, lidar, sandiego, erosion, climatechange",2543
"Local rock and soil, intensity",Wendy,11/15/2021,Monday,81,14:02:00,15.18,6857,420,6,4,23.82,12.5,82.34519104,46.91,6515,6.44666155,0.092095165,0.061396777,88,6,5,0,1,"earthquake, geophysics, geology, earthscience, seismology, earthquakes",6857
